id,title,course_level,department_name
AFAM40B,African American Studies II,Lower Division (1-99),African American Studies
ANATOMY201,Human Gross Anatomy,Graduate/Professional Only (200+),Anatomy and Neurobiology
ANATOMY203B,Human Microscopoic Anatomy,Graduate/Professional Only (200+),Anatomy and Neurobiology
AFAM151,Comparative Minority Politics,Upper Division (100-199),African American Studies
AFAM155,Intercultural Studies,Upper Division (100-199),African American Studies
AFAM399,University Teaching,Graduate/Professional Only (200+),African American Studies
ANATOMY202B,Human Neuroscience,Graduate/Professional Only (200+),Anatomy and Neurobiology
AFAM113,African American Cinema and Media,Upper Division (100-199),African American Studies
AFAM114,International Cultures,Upper Division (100-199),African American Studies
AFAM152,African American Politics,Upper Division (100-199),African American Studies
ACENG22A,Academic English Reading and Vocabulary,Lower Division (1-99),Academic English
ACENG23B,Oral English Communication II,Lower Division (1-99),Academic English
AFAM125,African American Women in Art,Upper Division (100-199),African American Studies
AFAM134A,Caribbean History: Colonization to Emancipation,Upper Division (100-199),African American Studies
AFAM50,Introductory Topics in African American Studies,Lower Division (1-99),African American Studies
ANTHRO125A,Economic Anthropology,Upper Division (100-199),Anthropology
ANATOMY292A,Topics in Neural Circuit Mapping,Graduate/Professional Only (200+),Anatomy and Neurobiology
ANTHRO124,Gold: The Alchemy of Socio-Economic Practice,Upper Division (100-199),Anthropology
ANTHRO121AW,Kinship and Social Organization,Upper Division (100-199),Anthropology
ANATOMY215,Epilepsy as a Window to Mechanisms of Neuronal Plasticity,Graduate/Professional Only (200+),Anatomy and Neurobiology
ANATOMY292B,Scientific Communication,Graduate/Professional Only (200+),Anatomy and Neurobiology
ANTHRO126A,Elite Cultures,Upper Division (100-199),Anthropology
ANTHRO129,Special Topics: Social and Economic Anthropology,Upper Division (100-199),Anthropology
ANATOMY292C,Scientific Communication,Graduate/Professional Only (200+),Anatomy and Neurobiology
ANTHRO125C,Environmental Anthropology,Upper Division (100-199),Anthropology
ANTHRO126,Cultures of the Middle East,Upper Division (100-199),Anthropology
ANTHRO127A,Law and Modernity,Upper Division (100-199),Anthropology
ANTHRO125F,Humans and Other Animals,Upper Division (100-199),Anthropology
ANTHRO134G,HIV/AIDS in a Global Context,Upper Division (100-199),Anthropology
ANTHRO136D,Conflict Resolution in Cross-Cultural Perspective,Upper Division (100-199),Anthropology
ANTHRO139,Special Topics in Cultural and Psychological Anthropology,Upper Division (100-199),Anthropology
ANATOMY227B,Current Topics in Neuroscience,Graduate/Professional Only (200+),Anatomy and Neurobiology
ANTHRO100A,Ethnography and Anthropological Methods,Upper Division (100-199),Anthropology
ANTHRO100B,Anthropology Careers,Upper Division (100-199),Anthropology
ANTHRO121J,Urban Anthropology,Upper Division (100-199),Anthropology
ANTHRO127,"Controversies, Courts, Cultures: The Anthropology of Law",Upper Division (100-199),Anthropology
ANTHRO136G,Colonialism and Gender,Upper Division (100-199),Anthropology
ANTHRO134F,Anthropology of the Body,Upper Division (100-199),Anthropology
ANTHRO136K,The Woman and the Body,Upper Division (100-199),Anthropology
ANTHRO148,I Dig UCI,Upper Division (100-199),Anthropology
ANTHRO149,Special Topics in Archaeology,Upper Division (100-199),Anthropology
ANTHRO151A,"Improvisation, Language, and Culture",Upper Division (100-199),Anthropology
ANATOMY230,Topics in Translational Neuroscience,Graduate/Professional Only (200+),Anatomy and Neurobiology
ANTHRO125B,Ecological Anthropology,Upper Division (100-199),Anthropology
ANTHRO121D,Cross-Cultural Studies of Gender,Upper Division (100-199),Anthropology
ANTHRO125X,Transnational Migration,Upper Division (100-199),Anthropology
ANTHRO128C,Digital Cultures,Upper Division (100-199),Anthropology
ANTHRO134B,Cultures of Biomedicine,Upper Division (100-199),Anthropology
ANATOMY230A,"Molecular, Cellular, & Developmental Neurobiology",Graduate/Professional Only (200+),Anatomy and Neurobiology
ANTHRO10A,Probability and Statistics,Lower Division (1-99),Anthropology
ANTHRO125Z,Arabs and Muslims in the US,Upper Division (100-199),Anthropology
ANTHRO128A,"Science, Technology, Controversy",Upper Division (100-199),Anthropology
ANTHRO128B,"Race, Gender, and Science",Upper Division (100-199),Anthropology
ANTHRO134A,Medical Anthropology,Upper Division (100-199),Anthropology
ANTHRO134C,"Medicine, Food, and Health",Upper Division (100-199),Anthropology
ANTHRO10B,Probability and Statistics,Lower Division (1-99),Anthropology
ANTHRO132A,Psychological Anthropology,Upper Division (100-199),Anthropology
ANTHRO136B,History of Anthropological Theory,Upper Division (100-199),Anthropology
ANTHRO138,Prisons and Public Education,Upper Division (100-199),Anthropology
ANTHRO141A,Ancient Civilization of Mexico and the Southwest,Upper Division (100-199),Anthropology
ANTHRO162A,Peoples and Cultures of Latin America,Upper Division (100-199),Anthropology
ANTHRO162B,Indian North America,Upper Division (100-199),Anthropology
ANTHRO134H,Anthropology of Food,Upper Division (100-199),Anthropology
ANTHRO134I,Comics and Medicine,Upper Division (100-199),Anthropology
ANTHRO140,Sex and Conquest in Latin America,Upper Division (100-199),Anthropology
ANTHRO147B,"Archaeology, Politics, and Identity",Upper Division (100-199),Anthropology
ANTHRO150A,Language and Social Cognition,Upper Division (100-199),Anthropology
ANTHRO125U,"Immigration, Nation, and Media",Upper Division (100-199),Anthropology
ANTHRO127D,Anthropology of Law,Upper Division (100-199),Anthropology
ANTHRO152A,"Language Origins: Evolution, Genetics, and the Brain",Upper Division (100-199),Anthropology
ANATOMY227A,Current Topics in Neuroscience,Graduate/Professional Only (200+),Anatomy and Neurobiology
ANTHRO10C,Probability and Statistics,Lower Division (1-99),Anthropology
ANTHRO125,Anthropology of Debt,Upper Division (100-199),Anthropology
ANATOMY227C,Current Topics in Neuroscience,Graduate/Professional Only (200+),Anatomy and Neurobiology
ANTHRO134N,"Disease, Health, and Inequality",Upper Division (100-199),Anthropology
ANTHRO136A,Nationalism and Ethnicity in the Contemporary World,Upper Division (100-199),Anthropology
ANTHRO146,Consumption and Culture,Upper Division (100-199),Anthropology
ANTHRO147,Egyptomania,Upper Division (100-199),Anthropology
ANTHRO147A,Archaeology of the Islamic World,Upper Division (100-199),Anthropology
ANTHRO202C,Proseminar in Anthropology,Graduate/Professional Only (200+),Anthropology
ANTHRO204A,"Proseminar in Medicine, Science, and Technology",Graduate/Professional Only (200+),Anthropology
ANTHRO20A,"People, Cultures, and Environmental Sustainability",Lower Division (1-99),Anthropology
ANTHRO202A,Proseminar in Anthropology,Graduate/Professional Only (200+),Anthropology
ANTHRO165A,Modern Iran: Cinema and the City,Upper Division (100-199),Anthropology
ANTHRO240A,Economic Anthropology,Graduate/Professional Only (200+),Anthropology
ANTHRO235A,Transnational Migration,Graduate/Professional Only (200+),Anthropology
ANTHRO246E,Capital and Empire,Graduate/Professional Only (200+),Anthropology
ANTHRO257A,Natures and Environments,Graduate/Professional Only (200+),Anthropology
ANTHRO2D,Introduction to Language and Culture,Lower Division (1-99),Anthropology
ANTHRO256A,Ethnographies of Technology,Graduate/Professional Only (200+),Anthropology
ANTHRO289,Special Topics in Anthropology,Graduate/Professional Only (200+),Anthropology
ANTHRO290,Dissertation Research,Graduate/Professional Only (200+),Anthropology
ANTHRO25A,Environmental Injustice,Lower Division (1-99),Anthropology
ANTHRO215B,Research Design,Graduate/Professional Only (200+),Anthropology
ANTHRO245A,Seminar in Political Anthropology,Graduate/Professional Only (200+),Anthropology
ANTHRO48,"Archaeology or Aliens?: Conspiracy, Pseudoscience, and the Emergence of Civilizations",Lower Division (1-99),Anthropology
ARABIC1A,Fundamentals of Arabic,Lower Division (1-99),Arabic
ANTHRO215A,Ethnographic Methods,Graduate/Professional Only (200+),Anthropology
ANTHRO2B,Introduction to Biological Anthropology,Lower Division (1-99),Anthropology
ANTHRO2C,Introduction to Archaeology,Lower Division (1-99),Anthropology
ANTHROH190C,Honors Research Analysis,Upper Division (100-199),Anthropology
ARABIC10A,Arabic Peer-to-Peer Language Mentor Program,Lower Division (1-99),Arabic
ANTHRO198,Directed Group Study,Upper Division (100-199),Anthropology
ANTHRO250A,The Cultural Politics of Visual Representation,Graduate/Professional Only (200+),Anthropology
ANTHROH190A,Honors Research Design,Upper Division (100-199),Anthropology
ANTHRO180AW,Anthropology Majors Writing Seminar,Upper Division (100-199),Anthropology
ANTHRO163A,Peoples of the Pacific,Upper Division (100-199),Anthropology
ANTHRO246,Feminist Anthropology,Graduate/Professional Only (200+),Anthropology
ANTHRO254,Digital Anthropology,Graduate/Professional Only (200+),Anthropology
ANTHRO255A,Disability Worlds,Graduate/Professional Only (200+),Anthropology
ARABIC199,Independent Study,Upper Division (100-199),Arabic
ARABIC2A,Intermediate Arabic Language and Culture,Lower Division (1-99),Arabic
ANTHRO164A,21st Century Africa,Upper Division (100-199),Anthropology
ANTHRO253A,"Design, Aesthetics, and Social Life",Graduate/Professional Only (200+),Anthropology
ANTHROH190B,Honors Field Research,Upper Division (100-199),Anthropology
ARABIC1B,Fundamentals of Arabic,Lower Division (1-99),Arabic
ANTHROH190W,Honors Thesis Writing,Upper Division (100-199),Anthropology
ANTHRO162C,Race and Empire in Colonial Latin America,Upper Division (100-199),Anthropology
ANTHRO202B,Proseminar in Anthropology,Graduate/Professional Only (200+),Anthropology
ANTHRO230F,Ethnography,Graduate/Professional Only (200+),Anthropology
ANTHRO247A,Structuralism and Post-Structuralism,Graduate/Professional Only (200+),Anthropology
ANTHRO252A,Queer Anthropology,Graduate/Professional Only (200+),Anthropology
ANTHRO259A,Dissertation Writing Seminar,Graduate/Professional Only (200+),Anthropology
ANTHRO2A,Introduction to Sociocultural Anthropology,Lower Division (1-99),Anthropology
ANTHRO45A,"Science, Culture, Power",Lower Division (1-99),Anthropology
ANTHRO256B,"Secrecy, Security, and Surveillance",Graduate/Professional Only (200+),Anthropology
ANTHRO261,Anthropology of the Mind,Graduate/Professional Only (200+),Anthropology
ANTHRO41A,Global Cultures and Society,Lower Division (1-99),Anthropology
ARABIC1C,Fundamentals of Arabic,Lower Division (1-99),Arabic
ANTHRO190,Senior Thesis,Upper Division (100-199),Anthropology
ANTHRO260,Critical Medical Anthropology,Graduate/Professional Only (200+),Anthropology
ANTHRO30A,Global Issues in Anthropological Perspective,Lower Division (1-99),Anthropology
ARABIC10B,Arabic Peer-to-Peer Language Mentor Program,Lower Division (1-99),Arabic
ANTHRO197,Field Study,Upper Division (100-199),Anthropology
ANTHRO162D,Anthropology of the United States,Upper Division (100-199),Anthropology
ANTHRO164P,Peoples and Cultures of Post-Soviet Eurasia,Upper Division (100-199),Anthropology
ANTHRO169,Special Topics in Area Studies,Upper Division (100-199),Anthropology
ANTHRO199,Independent Study,Upper Division (100-199),Anthropology
ANTHRO215C,Grant and Proposal Writing,Graduate/Professional Only (200+),Anthropology
ANTHRO230D,Ethnography and its Collaborative Futures,Graduate/Professional Only (200+),Anthropology
ANTHRO249A,Humanism and Posthumanism,Graduate/Professional Only (200+),Anthropology
ANTHRO299,Independent Study,Graduate/Professional Only (200+),Anthropology
ANTHRO30C,Visual Anthropology,Lower Division (1-99),Anthropology
ARMN1C,Elementary Armenian,Lower Division (1-99),Armenian
ARABIC2B,Intermediate Arabic Language and Culture,Lower Division (1-99),Arabic
ART115W,Writing Nearby,Upper Division (100-199),Art
ART126B,Issues in Techno-Arts,Upper Division (100-199),Art
ART109,Performance and the Camera,Upper Division (100-199),Art
ARMN2C,Intermediate Armenian,Lower Division (1-99),Armenian
ART110A,Mechatronic Art I,Upper Division (100-199),Art
ART119,Issues in Contemporary Painting,Upper Division (100-199),Art
ART150,Advanced Studio Topics--Painting,Upper Division (100-199),Art
ART150G,Advanced Figure Painting,Upper Division (100-199),Art
ART197,Art Internship,Upper Division (100-199),Art
ART199,Independent Study,Upper Division (100-199),Art
ART1A,"Art in Context: History, Theory, and Practice",Lower Division (1-99),Art
ART20B,Basic Drawing II,Lower Division (1-99),Art
ART251,Special Topics Seminar,Graduate/Professional Only (200+),Art
ART262,Graduate Thesis Independent Study,Graduate/Professional Only (200+),Art
ART280A,Introduction to Exhibition Systems,Graduate/Professional Only (200+),Art
ART30A,Basic Painting I,Lower Division (1-99),Art
ARTHIS134C,Modern European Art: From Impressionism to the Fauves,Upper Division (100-199),Art History
ARTHIS145A,Studies in Modern Architecture,Upper Division (100-199),Art History
ARTHIS145B,Studies in Architecture after 1945,Upper Division (100-199),Art History
ART130A,Projects in New Technologies,Upper Division (100-199),Art
ART230,Graduate Group Critique,Graduate/Professional Only (200+),Art
ART280,Contemporary Exhibition Systems,Graduate/Professional Only (200+),Art
ART40,Beginning Sculpture,Lower Division (1-99),Art
ART65B,Foundations in Internet Art and Design,Lower Division (1-99),Art
ARTHIS151B,Later Imperial China,Upper Division (100-199),Art History
ARTHIS162C,Contemporary Japan,Upper Division (100-199),Art History
ARMN2B,Intermediate Armenian,Lower Division (1-99),Armenian
ART189,Critical Aesthetics,Upper Division (100-199),Art
ART198,Honors Exhibition,Upper Division (100-199),Art
ARTHIS103,Studies in Greek Art,Upper Division (100-199),Art History
ARTHIS125,Studies in Southern Baroque Art,Upper Division (100-199),Art History
ARTHIS150,Studies in Asian Art,Upper Division (100-199),Art History
ART153,Digital Filmmaking Advanced Project II,Upper Division (100-199),Art
ART170,Advanced Projects,Upper Division (100-199),Art
ART261,Graduate Thesis Writing Seminar,Graduate/Professional Only (200+),Art
ART50B,Interaction and Experience,Lower Division (1-99),Art
ART51,Basic Ceramic Sculpture,Lower Division (1-99),Art
ART65C,Gizmology and Kinetics,Lower Division (1-99),Art
ARTHIS110,Studies in Medieval Art,Upper Division (100-199),Art History
ARTHIS140B,Topics in Contemporary Art,Upper Division (100-199),Art History
ARTHIS151C,Modern China,Upper Division (100-199),Art History
ART127B,Issues in Experimental Film History,Upper Division (100-199),Art
ART12A,"Art, Design, and Electronic Culture",Lower Division (1-99),Art
ART144,Artist Books as Objects,Upper Division (100-199),Art
ART151,Advanced Studio Topics--Sculpture,Upper Division (100-199),Art
ART152A,Advanced Studio Topics: Photography,Upper Division (100-199),Art
ART152B,Documentary Photography,Upper Division (100-199),Art
ART81A,Digital Filmmaking Production I,Lower Division (1-99),Art
ARTHIS121,Studies in Southern Renaissance Art,Upper Division (100-199),Art History
ART128,Issues in New Genres,Upper Division (100-199),Art
ART138,Place Making and Public Art,Upper Division (100-199),Art
ART150F,Advanced Figure Drawing,Upper Division (100-199),Art
ART152D,The Photographic Tableau,Upper Division (100-199),Art
ART215,Graduate Seminar Topics,Graduate/Professional Only (200+),Art
ART240,Interdisciplinary Projects,Graduate/Professional Only (200+),Art
ART263,"Graduate Thesis, Exhibition Critique",Graduate/Professional Only (200+),Art
ART81B,Digital Filmmaking Production II,Lower Division (1-99),Art
ART95,Special Topics in Basic Media,Lower Division (1-99),Art
ART9A,"Visual Culture: Media, Art, and Technology",Lower Division (1-99),Art
ARTHIS120,Studies in Renaissance and Baroque Art,Upper Division (100-199),Art History
ARTHIS145C,Topics in the History of Modern and Contemporary Architecture,Upper Division (100-199),Art History
ARTHIS155D,Topics in the Art and Architecture of India,Upper Division (100-199),Art History
ART101W,Artists as Writers,Upper Division (100-199),Art
ART108,Digital Filmmaking Project I,Upper Division (100-199),Art
ART236,Graduate Topics in Studio Production,Graduate/Professional Only (200+),Art
ART91,Basic Performance Art,Lower Division (1-99),Art
ART9C,Visual Culture: Thematic Investigations,Lower Division (1-99),Art
ART100,Special Topics in Art,Upper Division (100-199),Art
ARMN2A,Intermediate Armenian,Lower Division (1-99),Armenian
ART110C,Mechatronic Art III,Upper Division (100-199),Art
ARABIC2C,Intermediate Arabic Language and Culture,Lower Division (1-99),Arabic
ART152F,Seminar Production Component,Upper Division (100-199),Art
ARABIC51,Introduction to the Koran,Lower Division (1-99),Arabic
ART119A,Issues in Contemporary Drawing,Upper Division (100-199),Art
ART250,Directed Reading and Research,Graduate/Professional Only (200+),Art
ART65A,Foundations in Media Design,Lower Division (1-99),Art
ART71B,Introduction to Photography II,Lower Division (1-99),Art
ART11A,Topics in History of Contemporary Art,Lower Division (1-99),Art
ART150C,Advanced Drawing,Upper Division (100-199),Art
ART30B,Basic Painting II,Lower Division (1-99),Art
ART123B,"Issues in Media, Violence, and Fear",Upper Division (100-199),Art
ART12B,Cultural History of the Anthropocene,Lower Division (1-99),Art
ART1C,"Art in Context: History, Theory, and Practice",Lower Division (1-99),Art
ART255,Graduate Interdisciplinary and Collaborative Projects,Graduate/Professional Only (200+),Art
ARTHIS114,Studies in Western Medieval Art,Upper Division (100-199),Art History
ARTHIS107,Studies in Roman Art,Upper Division (100-199),Art History
ARTHIS111B,Byzantine Art: 650-1450,Upper Division (100-199),Art History
ARTHIS128,Studies in Northern Baroque Art,Upper Division (100-199),Art History
ARTHIS134D,Modern European Art: From Cubism to Surrealism,Upper Division (100-199),Art History
ARTHIS140A,History of Contemporary Art,Upper Division (100-199),Art History
ART156,Advanced Studio Topics: Ceramic Sculpture,Upper Division (100-199),Art
ART166A,Digital Filmmaking Web Series,Upper Division (100-199),Art
ART220,Graduate Seminar: Issues in Contemporary Art,Graduate/Professional Only (200+),Art
ART399,University Teaching,Graduate/Professional Only (200+),Art
ART50A,Matter and Media,Lower Division (1-99),Art
ARTHIS112,Studies in Early Christian and Byzantine Art,Upper Division (100-199),Art History
ARMN1B,Elementary Armenian,Lower Division (1-99),Armenian
ART106C,Design for Print,Upper Division (100-199),Art
ART125,Issues in Photography,Upper Division (100-199),Art
ART12C,Intelligences of Arts,Lower Division (1-99),Art
ART132B,Digital Filmmaking Post-Production,Upper Division (100-199),Art
ART141,Digital Filmmaking Advanced Project I,Upper Division (100-199),Art
ART190B,Senior Projects and Critique in Photography,Upper Division (100-199),Art
ART264,Critical and Curatorial Thesis Exhibition,Graduate/Professional Only (200+),Art
ART71A,Introduction to Photography I,Lower Division (1-99),Art
ARTHIS134E,Topics in Modern European Art,Upper Division (100-199),Art History
ART106A,Programming for Artists,Upper Division (100-199),Art
ART113,How to be Clever with Stuff,Upper Division (100-199),Art
ARMN1A,Elementary Armenian,Lower Division (1-99),Armenian
ART152C,The Public Image,Upper Division (100-199),Art
ART1B,"Art in Context: History, Theory, and Practice",Lower Division (1-99),Art
ARTHIS155A,Ancient India,Upper Division (100-199),Art History
ARTHIS155B,Medieval India,Upper Division (100-199),Art History
ARTHIS156,"Art and Globalization, Modern",Upper Division (100-199),Art History
ART121A,Afro-Futurism I,Upper Division (100-199),Art
ART154,Advanced Studio Topics: Performance,Upper Division (100-199),Art
ART190,Senior Project and Critique,Upper Division (100-199),Art
ART20A,Basic Drawing I,Lower Division (1-99),Art
ART8,Changing Creativity,Lower Division (1-99),Art
ARTHIS155C,Modern India,Upper Division (100-199),Art History
ART121B,Afro-Futurism II,Upper Division (100-199),Art
ART132A,Digital Filmmaking Pre-Production,Upper Division (100-199),Art
ART133,The Graphic Novel,Upper Division (100-199),Art
ART210,First-Year Graduate Seminar,Graduate/Professional Only (200+),Art
ART9B,Visual Culture: A Culture Divided,Lower Division (1-99),Art
ARTHIS100,Studies in Ancient Art,Upper Division (100-199),Art History
ARTHIS40C,Early Modern and Modern Art in Europe and America,Lower Division (1-99),Art History
ARTHIS255A,Ancient India,Graduate/Professional Only (200+),Art History
ARTHIS183C,Selected Topics in Photographic History,Upper Division (100-199),Art History
ARTHIS180,Topics in the Criticism of Art,Upper Division (100-199),Art History
ARTHIS164A,Modern African American Art,Upper Division (100-199),Art History
ARTHIS42B,History of Asian Art: Arts of China,Lower Division (1-99),Art History
ASIANAM51,The U.S. and Asia,Lower Division (1-99),Asian American Studies
ASIANAM55,Asian Americans and the Media,Lower Division (1-99),Asian American Studies
BANA212,Data and Programming for Analytics,Graduate/Professional Only (200+),Business Analytics
BIOCHEM200B,Research in Biological Chemistry,Graduate/Professional Only (200+),Biological Chemistry
BIOCHEM215,Mouse Developmental Genetics,Graduate/Professional Only (200+),Biological Chemistry
ARTHIS255B,Medieval India,Graduate/Professional Only (200+),Art History
ARTS199,Independent Study,Upper Division (100-199),Arts
ASIANAM100W,Research Methodologies for Asian American Studies,Upper Division (100-199),Asian American Studies
ASIANAM151F,South Asian American Studies,Upper Division (100-199),Asian American Studies
BANA298B,Business Analytics Capstone Project,Graduate/Professional Only (200+),Business Analytics
BATS209A,Introduction to Medical Statistics,Graduate/Professional Only (200+),Biomedical and Translational Science
BATS251,Quality Efficiency and Cost Effectiveness,Graduate/Professional Only (200+),Biomedical and Translational Science
ARTHIS198,Advanced Seminar: Topics in Art History,Upper Division (100-199),Art History
ARTHIS199,Independent Study in Art History,Upper Division (100-199),Art History
ASIANAM151K,Filipina/Filipino American Studies,Upper Division (100-199),Asian American Studies
BANA201B,Management Science for Analytics,Graduate/Professional Only (200+),Business Analytics
BANA211,MSBA ProSeminar,Graduate/Professional Only (200+),Business Analytics
BANA294,Big Data Analytics with Hadoop,Graduate/Professional Only (200+),Business Analytics
BIOCHEM200C,Research in Biological Chemistry,Graduate/Professional Only (200+),Biological Chemistry
ARTHIS183B,20th Century Photographic History,Upper Division (100-199),Art History
ASIANAM162,Asian American Women,Upper Division (100-199),Asian American Studies
ASIANAM168,Politics of Animal Rights,Upper Division (100-199),Asian American Studies
ASIANAM399,University Teaching,Graduate/Professional Only (200+),Asian American Studies
ARTHIS165A,Early American Art,Upper Division (100-199),Art History
ARTHIS40B,Arts of Europe: Medieval and Renaissance,Lower Division (1-99),Art History
ARTHIS42C,History of Asian Art: Arts of Japan,Lower Division (1-99),Art History
ARTHIS55,Disneyland,Lower Division (1-99),Art History
ASIANAM112,Asian American Art History,Upper Division (100-199),Asian American Studies
ASIANAM116,Asian Americans and Popular Culture,Upper Division (100-199),Asian American Studies
ASIANAM250,Advanced Topics in Asian American Studies,Graduate/Professional Only (200+),Asian American Studies
BATS253,Disparities in Health and Health Care,Graduate/Professional Only (200+),Biomedical and Translational Science
BATS299,Independent Directed Research,Graduate/Professional Only (200+),Biomedical and Translational Science
ARTHIS40A,"Ancient Greek and Roman Art, and Architecture",Lower Division (1-99),Art History
ARTHIS164E,African Americans and Photography,Upper Division (100-199),Art History
ARTHIS164B,Contemporary African American Art,Upper Division (100-199),Art History
ARTS1,ArtsCore,Lower Division (1-99),Arts
ARTHIS165D,Topics in American Art,Upper Division (100-199),Art History
ARTHIS399,University Teaching,Graduate/Professional Only (200+),Art History
ARTHIS190W,Art History Methods,Upper Division (100-199),Art History
ARTS75,Digital Media: Exhibition,Lower Division (1-99),Arts
ASIANAM143,Religious Traditions of Asian Americans,Upper Division (100-199),Asian American Studies
BANA273,Machine Learning for Analytics,Graduate/Professional Only (200+),Business Analytics
BATS209B,Introduction to Medical Statistics II,Graduate/Professional Only (200+),Biomedical and Translational Science
BIOCHEM200A,Research in Biological Chemistry,Graduate/Professional Only (200+),Biological Chemistry
ARTHIS165B,Nineteenth Century American Art,Upper Division (100-199),Art History
ARTHIS165C,Modern American Art,Upper Division (100-199),Art History
ASIANAM137,Asian American Labor,Upper Division (100-199),Asian American Studies
ASIANAM151H,Southeast Asian American Studies,Upper Division (100-199),Asian American Studies
ASIANAM53,Asian Americans and Race,Lower Division (1-99),Asian American Studies
BANA279,Business Data Management,Graduate/Professional Only (200+),Business Analytics
BATS232,Design and Analysis of Clinical Trials,Graduate/Professional Only (200+),Biomedical and Translational Science
BATS247,"Measurement Science, Outcomes Research, and Advanced Applied Methods",Graduate/Professional Only (200+),Biomedical and Translational Science
BIOCHEM202A,Laboratory Seminar Series,Graduate/Professional Only (200+),Biological Chemistry
ARTHIS42E,"Art and Archaeology of Ancient Persia, Egypt, and Mesopotamia",Lower Division (1-99),Art History
ASIANAM151J,Chinese American Studies,Upper Division (100-199),Asian American Studies
ASIANAM54,Asian American Stories,Lower Division (1-99),Asian American Studies
BIOCHEM291,Research Seminar,Graduate/Professional Only (200+),Biological Chemistry
ARTSH81,Improvisation and Modes of Research / Creative Expression,Lower Division (1-99),Arts
ASIANAM138,Race and Urban Space,Upper Division (100-199),Asian American Studies
ASIANAM151E,Japanese American Studies,Upper Division (100-199),Asian American Studies
ASIANAM164,Topics in Intersectionality,Upper Division (100-199),Asian American Studies
ASIANAM200A,Theory and Methods in Asian American Studies,Graduate/Professional Only (200+),Asian American Studies
ASIANAM52,Asian American Communities,Lower Division (1-99),Asian American Studies
BIOCHEM202B,Laboratory Seminar Series,Graduate/Professional Only (200+),Biological Chemistry
ASIANAM142,Arabs and Muslims in the US,Upper Division (100-199),Asian American Studies
